phenotype,description,Sex,Total Observed scale h2,Total Observed scale h2_se,Total Liability scale h2,Total Liability scale h2_se,-log10(h2_p),Intercept,Intercept_se,Ratio,Lambda GC,Mean Chi^2,prev(%),n_missing,n_non_missing,n_cases,n_controls,UK Biobank Data Showcase Link,notes
50_irnt,Standing height,both_sexes,0.3772,0.0197,0.3772,0.0197,81.29,1.61,0.0373,0.1629 (0.0099),2.51,4.75,,806,360388,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=50,Standing height was measured using a Seca 202 device
20153_irnt,"Forced expiratory volume in 1-second (FEV1), predicted",both_sexes,0.3293,0.0209,0.3293,0.0209,55.51,1.21,0.0188,0.1909 (0.0169),1.57,2.11,,243953,117241,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20153,"Predicted Forced Expiratory Volume in 1-second (FEV1), was calculated using a subset of ""healthy never smokers"" from UK Biobank. ""Healthy never smokers"", were selected as individuals with ""Ever Smoking Status""=0 and with ""Reproducible measure using the European Respiratory Society/American Thoracic Society (ERS/ATS) Criteria""=YES (1), with the following exclusions: ~F2316~: Individuals who indicated that they had experienced wheeze: ""Yes"" (1), ""Do not know"" (-1) or ""Prefer not to answer"" (-3). ~F6152~: Individuals who reported ""emphysema/chronic bronchitis"" (6) or ""asthma"" (8) or ""Prefer not to answer"" (-3). ~F20002~: Individuals who reported any of the following: asthma (1111), COPD (1112), emphysema/chronic bronchitis (1113), bronchiectasis (1114), interstitial lung disease (1115), asbestosis (1120), pulmonary fibrosis (1121), fibrosing/unspecified alveolitis (1122), respiratory failure (1124), pleurisy (1125), spontaneous/recurrent pneumothorax (1126), other respiratory problems (1117). Healthy never smokers were grouped into 58 age-sex bands (29 age bands per sex; ages 39, 40 and 41 were grouped into one band and ages 69, 70 and 72 were grouped into one band with ages 42 to 68 each forming a separate band) and the following linear regression model was fitted in each age-sex band: FEV1 = Beta0 + Beta1 * Standing Height Predicted FEV1 was then calculated for all samples who were never smokers (""Ever Smoking Status""=0) or heavy smokers (""Ever Smoking Status""=1 AND ""Pack years as proportion of life span exposed to smoking"" &gt;= 0.42) and with ""Reproducible measure using the European Respiratory Society/American Thoracic Society (ERS/ATS) Criteria""=YES, using the estimates of Beta0 and Beta1 , from the appropriate age-sex band: Predicted FEV1= (pred. Beta0 ) + (pred. Beta1 )^ * Standing Height Five individuals were outliers in terms of their FEV1 and were not coded. This derived data field has come from Professor Martin Tobin at the University of Leicester."
5097_irnt,6mm weak meridian (left),both_sexes,0.2878,0.0233,0.2878,0.0233,34.62,1.12,0.0134,0.2183 (0.0246),1.32,1.54,,295643,65551,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5097,This is the weak meridian of keratometry results taken at 3mm for the left eye
5098_irnt,6mm weak meridian (right),both_sexes,0.2825,0.0223,0.2825,0.0223,36.35,1.12,0.0135,0.2266 (0.0247),1.32,1.55,,294938,66256,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5098,This is the weak meridian of keratometry results taken at 6mm for the right eye
30100_irnt,Mean platelet (thrombocyte) volume,both_sexes,0.2771,0.0282,0.2771,0.0282,22.36,1.28,0.0244,0.1258 (0.0109),1.57,3.24,,10724,350470,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30100,"Result of ""Mean Platelet Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Platelet Volume is the average volume of individual platelets derived from the platelet histogram."
5099_irnt,3mm weak meridian (right),both_sexes,0.2724,0.0212,0.2724,0.0212,37.36,1.13,0.0141,0.2157 (0.0239),1.34,1.59,,285784,75410,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5099,This is the weak meridian of keratometry results taken at 3mm for the right eye
20015_irnt,Sitting height,both_sexes,0.2632,0.0152,0.2632,0.0152,66.75,1.46,0.0299,0.1714 (0.0111),2.15,3.69,,1128,360066,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20015,"Distance from rump to crown when sitting, calculated as the difference between ~F51~ and ~F3077~."
5132_irnt,3mm strong meridian (right),both_sexes,0.2601,0.0201,0.2601,0.0201,37.88,1.13,0.0138,0.223 (0.0245),1.32,1.56,,285784,75410,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5132,This is the strong meridian angle of keratometry results taken at 3mm for the right eye
4105_irnt,Heel bone mineral density (BMD) (left),both_sexes,0.2348,0.0256,0.2348,0.0256,19.63,1.12,0.0147,0.1615 (0.0199),1.34,1.74,,246633,114561,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4105,Estimation of bone mineral density (BMD) in the left heel is based on the Quantitative Ultrasound Index through the calcaneus. Direct entry.
3148_irnt,Heel bone mineral density (BMD),both_sexes,0.2274,0.0211,0.2274,0.0211,26.66,1.23,0.0188,0.1793 (0.0144),1.54,2.31,,154698,206496,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3148,Estimation of bone mineral density (BMD) in the heel is based on the Quantitative Ultrasound Index through the calcaneus. Direct entry.
4100_irnt,Ankle spacing width (left),both_sexes,0.2239,0.0132,0.2239,0.0132,64.11,1.13,0.0132,0.1899 (0.0186),1.46,1.71,,246564,114630,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4100,Left ankle width as indicated by the spacing between measurement transducer pads on heel
30080_irnt,Platelet count,both_sexes,0.2233,0.0201,0.2233,0.0201,28.25,1.32,0.0237,0.1627 (0.012),1.69,2.98,,10720,350474,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30080,"Result of ""Platelet Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet count is the number of thrombocytes derived from the platelet histogram."
3143_irnt,Ankle spacing width,both_sexes,0.2203,0.0126,0.2203,0.0126,68.02,1.26,0.0192,0.2044 (0.015),1.75,2.28,,154605,206589,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3143,Ankle width as indicated by the spacing between measurement transducer pads on heel
5085_irnt,Spherical power (left),both_sexes,0.2159,0.0146,0.2159,0.0146,49.06,1.12,0.0113,0.2411 (0.0225),1.34,1.5,,283455,77739,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5085,This is the spherical power of refractometry results for the left eye (0.00 indicates none)
23118_irnt,Leg predicted mass (left),both_sexes,0.2156,0.009000000000000001,0.2156,0.009000000000000001,126.39,1.34,0.0227,0.1659 (0.011),2.21,3.05,,6428,354766,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23118,"Body composition estimation by impedance measurement. Left leg predicted mass. in Kg, 0.1 increments."
5084_irnt,Spherical power (right),both_sexes,0.2156,0.0143,0.2156,0.0143,50.94,1.12,0.0108,0.2444 (0.0215),1.34,1.5,,283211,77983,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5084,This is the spherical power of refractometry results for the right eye (0.00 indicates none)
23098_irnt,Weight,both_sexes,0.2065,0.0078,0.2065,0.0078,154.02,1.3,0.0205,0.1559 (0.0107),2.2,2.91,,6356,354838,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23098,Weight of person taken during impedance measurement. 0.1 increments. Range 0 - 200Kg.
30040_irnt,Mean corpuscular volume,both_sexes,0.2046,0.0194,0.2046,0.0194,25.58,1.22,0.0217,0.1278 (0.0125),1.56,2.75,,10721,350473,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30040,"Result of ""Mean Corpuscular Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Corpuscular Haemoglobin Concentration (pg) is the weight of hemoglobin in the average erythrocyte, computed by the formula: MCH = (hemoglobin/red blood cells) x 10."
23106_irnt,Impedance of whole body,both_sexes,0.203,0.0084,0.203,0.0084,128.6,1.3,0.0209,0.153 (0.0107),2.17,2.95,,6399,354795,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23106,Body composition estimation by impedance measurement. Impedance of whole body. is Range 150 - 1200ohms in 1ohm increments.
23104_irnt,Body mass index (BMI),both_sexes,0.1963,0.006999999999999999,0.1963,0.006999999999999999,172.61,1.26,0.02,0.1448 (0.0111),2.18,2.81,,6363,354831,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23104,Body composition estimation by impedance measurement. Body Mass Index. Increments of 0.1 .
1697,Comparative height size at age 10,both_sexes,0.1899,0.0101,0.1899,0.0101,78.44,1.31,0.0247,0.1659 (0.0134),1.87,2.84,,5863,355331,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1697,"ACE touchscreen question ""When you were 10 years old, compared to average would you describe yourself as:"""
23107_irnt,Impedance of leg (right),both_sexes,0.188,0.0078,0.188,0.0078,127.93,1.29,0.0206,0.1578 (0.0114),2.07,2.81,,6377,354817,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23107,"Body composition estimation by impedance measurement. Impedance of right leg, oh Measured impedance of right leg. Range 150 - 1200 (ohms) in 1 (ohms) increments."
5257_irnt,Corneal resistance factor (right),both_sexes,0.1872,0.015,0.1872,0.015,35.32,1.1,0.0116,0.2352 (0.0271),1.25,1.43,,284564,76630,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5257,corneal resistance factor for right eye
23109_irnt,Impedance of arm (right),both_sexes,0.1844,0.0075,0.1844,0.0075,133.06,1.28,0.0199,0.1584 (0.0112),2.08,2.77,,6402,354792,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23109,"Body composition estimation by impedance measurement. Impedance of right arm, oh Measured impedance of right arm. Range 150 - 1200 (ohms) in 1 (ohms) increments."
23116_irnt,Leg fat mass (left),both_sexes,0.1827,0.0063,0.1827,0.0063,184.48,1.25,0.019,0.1514 (0.0114),2.1,2.67,,6406,354788,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23116,"Body composition estimation by impedance measurement. Left leg fat mass Left leg free mass in Kg, 0.1 increments."
5265_irnt,Corneal resistance factor (left),both_sexes,0.1808,0.0149,0.1808,0.0149,33.46,1.09,0.0112,0.2252 (0.0279),1.24,1.4,,284684,76510,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5265,corneal resistance factor for left eye
30110_irnt,Platelet distribution width,both_sexes,0.1805,0.0175,0.1805,0.0175,24.52,1.25,0.0206,0.1503 (0.0122),1.47,2.69,,10724,350470,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30110,"Result of ""Platelet Distribution Width"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet Distribution Width is the coefficient of variation of platelet size."
30090_irnt,Platelet crit,both_sexes,0.179,0.0168,0.179,0.0168,26.08,1.33,0.0235,0.1972 (0.0142),1.66,2.65,,10723,350471,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30090,"Result of ""Platelet Crit"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet Crit is a computed value that represents the platelet packed cell volume."
