0,chr1: 0~128Mb,chr1: 128~249Mb,chr2: 0~128Mb,chr2: 128~243Mb,chr3: 0~128Mb,chr3: 128~197Mb,chr4: 0~128Mb,chr4: 128~190Mb,chr5: 0~128Mb,chr5: 128~180Mb,chr6: 0~128Mb,chr6: 128~170Mb,chr7: 0~128Mb,chr7: 128~159Mb,chr8: 0~128Mb,chr8: 128~146Mb,chr9: 0~128Mb,chr9: 128~141Mb,chr10: 0~128Mb,chr10: 128~135Mb,chr11: 0~128Mb,chr11: 128~134Mb,chr12: 0~128Mb,chr12: 128~133Mb,chr13: 0~115Mb,chr14: 0~107Mb,chr15: 0~102Mb,chr16: 0~90Mb,chr17: 0~81Mb,chr18: 0~78Mb,chr19: 0~59Mb,chr20: 0~62Mb,chr21: 0~48Mb,chr22: 0~51Mb
50_irnt,0.017109,0.013006,0.021119,0.01544,0.012315000000000001,0.01152,0.012577,0.0035277,0.012754000000000001,0.012627,0.022598,0.010275,0.01971,0.0045443,0.012419,0.0052431000000000005,0.018913,0.0031511,0.016030000000000003,0.00031467,0.013572,0.00029810000000000004,0.026444,-7.124e-05,0.0081934,0.011526999999999999,0.020707,0.013106999999999999,0.020498,0.006506699999999999,0.015498,0.011977,0.0027366,0.0043153
20153_irnt,0.0167,0.0125,0.018000000000000002,0.0138,0.0103,0.0088,0.0099,0.0027,0.0115,0.0097,0.0196,0.0093,0.015,0.0034,0.0119,0.0051,0.0156,0.0031,0.0116,0.0005,0.0101,0.0007,0.0219,0.0006,0.0077,0.0095,0.0171,0.0121,0.0199,0.0052,0.0128,0.0114,0.0015,0.0032
5097_irnt,0.016746,0.0082379,0.008280599999999999,0.012685,0.011628,0.005275500000000001,0.012145,0.0031298000000000003,0.011497,0.0037476999999999996,0.018141,0.0071944999999999995,0.013371000000000001,0.0012785000000000001,0.014774,0.001015,0.0097729,0.0026263000000000002,0.014747999999999999,-6.8742e-05,0.010209000000000001,0.0033538000000000005,0.012674,0.00049698,0.0080301,0.009507799999999999,0.012975,0.008900499999999999,0.012913999999999998,0.0040605,0.0086378,0.0063686,0.007703699999999999,0.005452899999999999
5098_irnt,0.0156,0.0087,0.0092,0.0127,0.0106,0.0056,0.0121,0.0031,0.011000000000000001,0.0038,0.017,0.0078,0.0139,0.0018,0.0146,0.0009,0.0097,0.0026,0.0138,-0.0006,0.01,0.0029,0.0134,0.0006,0.0079,0.0086,0.0143,0.008,0.0116,0.004,0.0075,0.0064,0.0068,0.0059
30100_irnt,0.009004700000000001,0.018128000000000002,0.0077448000000000005,0.0084426,0.01115,0.0033753,0.004732899999999999,0.00049802,0.010604,0.005626,0.0077540000000000005,0.001848,0.008582799999999998,0.0026993000000000004,0.0037508000000000003,0.0016728,0.0041103,0.0029494,0.008444,-0.00026387,0.013101,-3.7196e-06,0.023031,0.00021342,0.0028206,0.0096022,0.0050142,0.0059834,0.011526,0.0048288,0.012913999999999998,0.009093700000000001,0.00023201,0.0042419
5099_irnt,0.0151,0.0079,0.0085,0.0118,0.0104,0.0054,0.0108,0.0015,0.0112,0.0035,0.0168,0.0073,0.0138,0.0015,0.0135,0.0007,0.009000000000000001,0.0026,0.0138,-0.0005,0.0104,0.0022,0.0117,0.0004,0.0088,0.0079,0.0138,0.0083,0.0118,0.0039,0.0082,0.0055,0.0061,0.0046
20015_irnt,0.014122,0.010381999999999999,0.013900999999999998,0.010886,0.008301600000000001,0.008820399999999999,0.010179,0.0036412,0.0089365,0.0066649000000000005,0.018962,0.009581999999999999,0.015604,0.0033845,0.010934000000000001,0.0037816000000000004,0.012404,0.0025634,0.011245999999999999,0.0001805,0.0085881,0.00014683,0.019201,7.3629e-05,0.0061451,0.008121300000000001,0.013144,0.010822,0.013031000000000001,0.0052896,0.0095002,0.01125,0.0021328000000000002,0.0030249
5132_irnt,0.0148,0.008,0.006999999999999999,0.0125,0.0093,0.0055,0.0103,0.0017,0.0112,0.0048,0.0155,0.0059,0.0122,0.0016,0.0103,0.0007,0.008,0.0028,0.0128,-0.0004,0.0123,0.0025,0.0113,0.0007,0.0082,0.0073,0.0139,0.0086,0.0105,0.0031,0.0071,0.0051,0.0059,0.0053
4105_irnt,0.011000000000000001,0.0058,0.0121,0.0061,0.0057,0.0031,0.0065,0.0021,0.0046,0.0019,0.0096,0.0087,0.0143,0.0005,0.011000000000000001,0.0011,0.0074,0.0009,0.0101,0.0007,0.0169,0.0005,0.0084,0.0001,0.0069,0.0056,0.0053,0.0085,0.0123,0.0032,0.0065,0.0084,0.003,0.0059
3148_irnt,0.013372,0.006557300000000001,0.012227,0.006726,0.0060239,0.0026116,0.0060082,0.00078594,0.0060959,0.0027465999999999996,0.009977,0.0090359,0.016283000000000002,0.0014268,0.0094632,0.00050753,0.0048855,0.001662,0.011825,0.00067722,0.015427000000000001,-8.2565e-05,0.0096423,0.00026136,0.005268899999999999,0.0042186,0.0036536000000000003,0.009463899999999999,0.013919999999999998,0.0037256999999999998,0.0047604,0.0068616,0.0029690000000000003,0.0038065
4100_irnt,0.0107,0.0081,0.0102,0.008,0.0099,0.0056,0.0061,0.0023,0.008,0.0063,0.0173,0.0045,0.013000000000000001,0.0022,0.0096,0.0031,0.0094,0.0014,0.0104,0.0004,0.0093,0.0007,0.0116,0.0002,0.0066,0.0081,0.0081,0.0086,0.0106,0.0077,0.0071,0.0074,0.0024,0.0044
30080_irnt,0.010211,0.012408,0.0074851,0.0058597,0.0086725,0.005787,0.005482,0.0010452999999999999,0.007562899999999999,0.0040137,0.007292,0.0047464,0.008437100000000001,0.0016647000000000003,0.0044636,0.0023691999999999997,0.009886399999999998,0.0021851999999999996,0.0072435,-0.00014563,0.013103,0.0011337,0.018793,6.794800000000001e-05,0.004744300000000001,0.0081488,0.0044512,0.0066554000000000006,0.011178,0.0029081,0.012068,0.0059893,0.0020191,0.0050251
3143_irnt,0.0111,0.0077,0.0104,0.0075,0.0081,0.0059,0.0076,0.0017,0.0086,0.0072,0.0156,0.0051,0.0141,0.0026,0.0099,0.0036,0.0106,0.0016,0.0093,0.0004,0.0104,0.0005,0.0133,0.0004,0.0074,0.0088,0.0068,0.0096,0.0112,0.0082,0.0077,0.0069,0.0018,0.0027
5085_irnt,0.0098,0.0088,0.0092,0.0123,0.009000000000000001,0.0035,0.0086,0.0017,0.0058,0.0039,0.0134,0.0033,0.0093,0.0028,0.009000000000000001,0.0006,0.0073,0.0017,0.0128,0.0002,0.0114,0.0013,0.0093,0.0013,0.0091,0.0091,0.009000000000000001,0.0071,0.0136,0.0058,0.0053,0.0051,0.0033,0.0024
23118_irnt,0.0113,0.0089,0.0099,0.0096,0.0087,0.0064,0.0083,0.0031,0.0098,0.0057,0.0133,0.0048,0.0111,0.0025,0.0091,0.0024,0.0088,0.0013,0.0099,0.0005,0.0093,0.0006,0.0154,0.0004,0.0068,0.0079,0.0065,0.0113,0.0093,0.0078,0.0079,0.0069,0.0016,0.0021
5084_irnt,0.010366,0.009499500000000001,0.009221600000000002,0.011946,0.008273200000000001,0.0039192,0.0075419,0.0020133,0.0052223999999999994,0.0035871,0.013199,0.0032622,0.008611,0.0027543000000000003,0.0091185,0.00068928,0.008081699999999999,0.0021195,0.012575,8.471200000000001e-05,0.011441,0.0012349,0.009788600000000001,0.0020629999999999997,0.008648399999999999,0.0081402,0.008939,0.0082145,0.013705000000000002,0.0064024,0.0056417,0.005106,0.0033395000000000005,0.0026236000000000002
23098_irnt,0.0106,0.0077,0.0101,0.0092,0.0095,0.0059,0.0084,0.0031,0.0087,0.005,0.0133,0.0039,0.0101,0.002,0.0092,0.0019,0.0081,0.0014,0.0094,0.0009,0.0094,0.0011,0.0132,0.0004,0.0064,0.008,0.0066,0.0112,0.0081,0.0079,0.0072,0.006,0.0018,0.0021
30040_irnt,0.007713899999999999,0.008362600000000001,0.0077967,0.0026436,0.0044535,0.0074938999999999995,0.0067058000000000005,0.00025708,0.0037427,0.0033069,0.015156999999999999,0.0054754,0.0062769,0.00053776,0.0052724,0.0021418,0.004386800000000001,0.0018445999999999998,0.0068375,4.6e-05,0.007836,0.00010233,0.0073219999999999995,0.00063465,0.0026518,0.00569,0.004275,0.0083476,0.0064221,0.0020684,0.011387000000000001,0.0053198,0.0021055,0.008290899999999999
