0,chr1: 0~64Mb,chr1: 64~128Mb,chr1: 128~192Mb,chr1: 192~249Mb,chr2: 0~64Mb,chr2: 64~128Mb,chr2: 128~192Mb,chr2: 192~243Mb,chr3: 0~64Mb,chr3: 64~128Mb,chr3: 128~192Mb,chr3: 192~197Mb,chr4: 0~64Mb,chr4: 64~128Mb,chr4: 128~190Mb,chr5: 0~64Mb,chr5: 64~128Mb,chr5: 128~180Mb,chr6: 0~64Mb,chr6: 64~128Mb,chr6: 128~170Mb,chr7: 0~64Mb,chr7: 64~128Mb,chr7: 128~159Mb,chr8: 0~64Mb,chr8: 64~128Mb,chr8: 128~146Mb,chr9: 0~64Mb,chr9: 64~128Mb,chr9: 128~141Mb,chr10: 0~64Mb,chr10: 64~128Mb,chr10: 128~135Mb,chr11: 0~64Mb,chr11: 64~128Mb,chr11: 128~134Mb,chr12: 0~64Mb,chr12: 64~128Mb,chr12: 128~133Mb,chr13: 0~64Mb,chr13: 64~115Mb,chr14: 0~64Mb,chr14: 64~107Mb,chr15: 0~64Mb,chr15: 64~102Mb,chr16: 0~64Mb,chr16: 64~90Mb,chr17: 0~64Mb,chr17: 64~81Mb,chr18: 0~64Mb,chr18: 64~78Mb,chr19: 0~59Mb,chr20: 0~62Mb,chr21: 0~48Mb,chr22: 0~51Mb
50_irnt,0.011628,0.005455699999999999,0.0074506,0.005964100000000001,0.014113999999999998,0.006978399999999999,0.0047942,0.010506,0.0077095,0.0046085,0.011181,0.00044647,0.006496300000000001,0.006273,0.0036344000000000003,0.0064248000000000005,0.0065185,0.01272,0.015290999999999999,0.008027,0.010361,0.014172,0.0055305,0.0046098,0.007244499999999999,0.0053691,0.0052816,0.0032631,0.015619,0.0031719,0.0056168,0.010464,0.00033610000000000004,0.0068813,0.0068695,0.00031743,0.012625,0.013909,-4.9211999999999996e-05,0.005601600000000001,0.0027660999999999996,0.0055146,0.0061408999999999995,0.0033443000000000006,0.017039,0.0074754999999999995,0.0058057,0.016382,0.0043666,0.006487000000000001,0.00025082,0.01564,0.012111,0.0028148,0.0044020000000000005
20153_irnt,0.0122,0.0049,0.0073,0.0055,0.0131,0.0051,0.0041,0.0101,0.0064,0.0041,0.0085,0.0004,0.0044,0.0057,0.0028,0.0065,0.0052,0.0098,0.0134,0.0072,0.0094,0.0116,0.0037,0.0035,0.0074,0.0047,0.0052,0.0022,0.0133,0.0031,0.0038,0.0079,0.0005,0.0055,0.0048,0.0007,0.0108,0.0113,0.0006,0.0055,0.0023,0.004,0.0056,0.0036,0.0135,0.0067,0.0055,0.0154,0.0047,0.0054,-0.0001,0.0129,0.0116,0.0016,0.0033
5097_irnt,0.011736,0.0056253,0.0035903,0.004853499999999999,0.0058590000000000005,0.0026969,0.0037274,0.009587799999999999,0.006083600000000001,0.0057569,0.0050869,0.00025871,0.004336,0.0078262,0.0032531999999999995,0.0028278,0.0086686,0.0038466999999999998,0.017261000000000002,0.003973300000000001,0.007307800000000001,0.0093912,0.0043585,0.0013573,0.0094895,0.005555300000000001,0.001066,0.004372399999999999,0.0056183,0.002665,0.006723100000000001,0.008207700000000002,-3.8097e-05,0.0059700000000000005,0.004534000000000001,0.0033804000000000004,0.004688899999999999,0.0081312,0.00052511,0.0072421000000000004,0.00099952,0.0030884,0.0066956,0.003387,0.009836,0.0041319,0.004937899999999999,0.0092029,0.003961699999999999,0.0034921,0.00073712,0.008801,0.0065283,0.0078015,0.005555600000000001
5098_irnt,0.0111,0.0051,0.004,0.0049,0.0065,0.003,0.0029,0.0106,0.0059,0.0049,0.0052,0.0005,0.0046,0.0075,0.0032,0.0024,0.0086,0.0039,0.0159,0.0038,0.0079,0.0101,0.0043,0.0019,0.0079,0.0069,0.001,0.0045,0.0054,0.0027,0.006,0.008,-0.0006,0.0055,0.0048,0.0029,0.0048,0.0088,0.0006,0.0066,0.0014,0.0033,0.0055,0.0044,0.0102,0.0031,0.0051,0.008,0.0039,0.0037,0.0005,0.0077,0.0065,0.0069,0.006
30100_irnt,0.0055801,0.0034684,0.0071654,0.01096,0.0039293,0.0038881999999999996,0.0019578,0.0064744,0.0063229,0.0048386,0.0026973,0.00073363,0.0020384,0.0027392,0.00052118,0.0014098,0.009162100000000001,0.0056348,0.006863600000000001,0.0016305,0.0018702000000000002,0.0022238,0.0064512,0.0027124000000000002,0.002405,0.0013944,0.0016820000000000001,0.0021518,0.0020135,0.0029571,0.0013003000000000001,0.0070062,-0.0002599,0.0082507,0.0051059,2.5362999999999998e-06,0.013062,0.010163,0.00021889,0.0011101,0.0017487000000000002,0.0028996,0.0066477,0.0021784,0.0028519,0.0030188000000000003,0.0030088000000000003,0.011131,0.00052607,0.0025597,0.0022605999999999998,0.012946000000000001,0.009124,0.00024992,0.0042615000000000005
5099_irnt,0.0105,0.0051,0.0031,0.0051,0.006,0.0027,0.003,0.0094,0.0058,0.0049,0.005,0.0004,0.0039,0.0069,0.0016,0.0031,0.0082,0.0036,0.0162,0.0035,0.0074,0.01,0.0042,0.0016,0.0074,0.0063,0.0007,0.0043,0.0049,0.0026,0.0055,0.0085,-0.0005,0.0064,0.0044,0.0022,0.0042,0.0076,0.0004,0.0071,0.0019,0.0034,0.0047,0.0039,0.0101,0.0035,0.005,0.0087,0.0033,0.0037,0.0004,0.0084,0.0057,0.0062,0.0047
20015_irnt,0.010418,0.0037231,0.0058526,0.0048073000000000005,0.0092678,0.004666399999999999,0.0038866,0.0070141000000000005,0.0056700000000000006,0.0026236000000000002,0.008548899999999998,0.00033386,0.005007999999999999,0.0053216,0.0037209000000000005,0.004640399999999999,0.0044356000000000005,0.0067352,0.011763,0.0076343999999999995,0.0096465,0.010917,0.0047427,0.0034336999999999996,0.0059609,0.0051144,0.0038103,0.0029491,0.009469799999999999,0.0025811999999999996,0.0048821,0.0064633,0.00019746,0.004411,0.0043207,0.00016163,0.0089014,0.010342,9.026700000000001e-05,0.0042122,0.0020656999999999997,0.004144600000000001,0.0040938,0.0025989,0.010431000000000001,0.005763600000000001,0.005194600000000001,0.010061,0.0031108,0.0053789,8.1704e-05,0.009606100000000001,0.011351,0.0021918000000000003,0.0030899
5132_irnt,0.009750799999999999,0.0055505,0.0032170000000000002,0.005019399999999999,0.0052337,0.0020297,0.0031879,0.0099773,0.0045766999999999995,0.0048798999999999995,0.0052407,0.00038439999999999997,0.0043571999999999994,0.0060413,0.0018245000000000002,0.0030361,0.0081564,0.0049286,0.015053,0.0031813,0.0059693,0.0091333,0.0034111,0.0016753,0.0054107,0.005083399999999999,0.00074053,0.0042068999999999995,0.004064,0.0028637,0.0041208,0.008688600000000001,-0.00035315,0.0072188,0.0053238999999999995,0.0024746,0.0042651,0.0071492000000000005,0.00069168,0.006791199999999999,0.0015797,0.0026027,0.0048786,0.0039319,0.010153,0.0031815999999999997,0.0055288,0.0078024,0.0028553000000000003,0.0031406,6.9787e-05,0.007283700000000001,0.0052683,0.0059556999999999995,0.0054387
4105_irnt,0.0071105000000000005,0.0041119,0.0017408,0.004130600000000001,0.006766299999999999,0.0054340000000000005,0.0024257,0.0038799999999999998,0.004611100000000001,0.0012447,0.0030918000000000005,-2.6660000000000004e-06,0.0024118000000000004,0.0040381,0.0021373,0.0018571999999999998,0.0028005,0.0019577,0.006586399999999999,0.0035349000000000005,0.008689,0.007909300000000001,0.0064491,0.00049107,0.006704099999999999,0.004417100000000001,0.0010691,0.0029849,0.0044985,0.00087551,0.006485800000000001,0.0038114000000000004,0.00070603,0.0069245,0.0098318,0.0004998,0.004344399999999999,0.004151600000000001,0.00011237,0.004393600000000001,0.0026259,0.0030622,0.0025444,0.0015664000000000001,0.0037759,0.0059009,0.0027011,0.0096329,0.0027102,0.0030516,0.00015681,0.0065226,0.008440799999999998,0.0029888000000000002,0.0059643
3148_irnt,0.008757,0.0047983,0.0027658,0.0038679,0.006898100000000001,0.0054167,0.0026369,0.0042,0.0045006,0.0015987,0.0026258,4.7209e-06,0.0033437,0.0027539,0.00083533,0.0027406999999999996,0.0034205999999999998,0.002787,0.0076494,0.0031024,0.009077,0.0082908,0.0080675,0.0014552999999999999,0.0057653999999999995,0.0037949,0.00052602,0.0013714,0.0035505000000000003,0.0016741,0.007785200000000001,0.0042402,0.00068883,0.0063973,0.0089162,-7.516e-05,0.0052829999999999995,0.0044838000000000005,0.00027181,0.0041086000000000004,0.0012453,0.0020188,0.0022688,0.00090733,0.002793,0.006397399999999999,0.0031425999999999997,0.011112,0.0028717,0.0036719,0.0001264,0.0048233,0.006921600000000001,0.0030049,0.0038453000000000003
